Farmer ID,1,2,3,4,5,6,7,8,9,10
Please confirm that the participant has received and signed the consent form.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.
What is the area of the land you cultivate? [ha],Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know
What is the yield that you expect of this land? [kg  per year],1400,Don't know,2300,350,500,1050,1000,1000,2250,1250
How long have you been farming on this field? [year],1,6,4,1,1,7,30,17,20,9
Do you water your crops?,Yes,Yes,No,No,Yes,No,No,No,No,No
Where do you get your water from?,Spring ,Spring ,,,Well,,,,,
How do you mainly transport it to your field?,Gravitational force -channels,Gravitational force -channels,,,Human force,,,,,
How do you distribute it mainly on the field?,Surface Irrigartion (channels),Surface Irrigartion (channels),,,Use water cans,,,,,
How many different crop types do you grow?,7,1,3,3,2,5,3,3,1,3
Which of these crop types do you grow on this field?,"Tomato, onions, cabbage, okra, Chinese cabbage, mustard ",Tomato ,Molasses (Mchewere) and sorghum sorghum ,"Mainly cow peas, beans, peas","Maize,Cassava","Maize, Soya bean , pumpkins, cow peas, groundnuts, ","Maize,Sweet Potatoes,Cow peas","Maize, Millet,groundnut ",Maize,"Pumpkins, millet,Maize"
Do you rotate crops on your farm?,No,,No,No,No,No,No,No,,No
Have you ever allowed your land to lie fallow (skipped a croping season)?,No,Yes,No,No,No,No,Yes,No,No,No
Why did you do it?,,I didn't want to plant tomato because I didn't have fertilizer.,,,,,"I went to Lilongwe to care for my sick brother, and the family didn't plant crops for 2 years then",,,
Why didn't you do it?,Land is limited,,This is our only land.,I don’t fallow because it will cause famine at my house. I don't have enough land,We only have this field,We don't have anywhere else to farm: land is limited,,"We only have this land. If we can farm, then we have nothing ",We don't have enough land. You can only do that when you have another field,We don't have any other field 
Where do you primarily seek information about agricultural practices?,Agriculture department and sustainable Cape maclear,Friends,"Radio, agricultural extension workers",Radio,Friends,Radio,Radio,"Radio programs - and they give out contacts of people to reach out, but has never called",Friends,I don't seek information
What do you think about the soil quality / health of your soils?,Good,Good,Poor,Good,Excellent,Excellent,Moderate,Moderate,Good,Moderate
On which criteria do you decide that? Why do you think so?,The plants/crops are sprouting (coming up) strongly ,Tomato grows well if fertilizer is applied,"It's more sandy so it doesn't retain water. Also, on one part which  plants do grow strong, Health and fast. He thinks the field is sand on one part, the other is more clay and loam",Soil porosity is very good so roots are able to penetrate. The soil also retains water that I'm able to grow plants after maize harvest (time of no rain),We can see that the maize is health and green. The taste of the maize is very good and of good aroma,All crops do well in this so.,Some part maize grow well. Some part maize grow poorly. ,It still needs fertilizer. In the last my patents were planting without fertilizer though,When there is rain maize do well. ,It's hugely dependent on fertilizer and maize stalks.  You can get yield without fertilizer 
Have you ever attended any workshops / trainings about soil quality / health?,No,No,No,Yes,No,No,Yes,No,No,No
Who organized the event?,,,,JICA,,,VAC. Don't know acynomy. It was an organisation support in agriculture and sex workers,,,
What was the focus of the course?,,,,"How to improve soil. How to take out bad nutrients (acidity) in the soil. To do this, we put ash in the soil. I also learn about bio-char making.",,,Planting of maize. Fertilizer application. Told to apply fertilizer when planting maize. Told to apply fertilizer in the amount of Coca-Cola bottle top. Fertilizer to be applied 4 or 5 cm from the planting seeds. I plant seeds 15 cm apart.,,,
Would you like to learn more about soil quality / health?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
What would you like to learn?,They want learn how to make fertilizer from manure,I want to be an expert in irrigation. I like irrigation because once you have fertilizer and pesticides you move out of poverty ,Wants to learn how to improve soil fertility. Wants to learn about manure and compost production ,Soil quality. Plant management from panting to harvesting. How to improve soil or make soil fertile or health.,How to make organic fertilizer. ,Soil improvement. Crops suitability on different land,Soil improvement. Soil quality - what to know which type of crops would do be in which soil,Learn about maize farming because I feel we are not good at it. I'm saying this because we don't get enough yield. I think we can be getting 20 bags if we learn about maize farming.,Which crops are suitable for which soils. ,What type of crops do well on which type of soils. Fertilizer application - we want to know if we apply less or more
What do you think about worms - are they important for the soils health?,Maybe,Don't know,Don't know,Yes,Yes,Yes,No,Don't know,Maybe,Don't know
