Farmer ID,1,2,3,4,6,7,8,9,10
Please confirm that the participant has received and signed the consent form.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.
"Can you explain what you know about compost (e.g. Definition, what it is used for etc.)?","Compost can be made of any biodegradable things. We take dead leaves, put manure then - 4 wheelbarrow. You need fresh plants to provide energy for the bacteria. Compost needs air for the bacteria. You need to turn the piles three times. It takes 8 weeks to make Compost. You sieve manure after 8 weeks. Things which didn't break can then used again for the next Compost. The size of Compost is 2×2×2 meters ","Compost is fertilizer that can be applied on any plant. Compost is from Green leaves, mixed with animal manure.",Compost is made by pilling leaves and animal manure to break down. It takes 8 weeks to manure. Compost is used as fertilizer. Compost pile varys but most it's 2×2 meters. ,"I can make compost on my own without challenges. Compost need biodegradable waste for example dead leaves, animal manure. You piles waste, dry leaves, then green leaves and manure. The pile needs to be mixed and turned every week. You add or spray water. It takes 2 monts to makes. It's 2x2 ",It's manure making process that uses animal manure and leafs. It piles waste. The piles are 2 by 2 meters. You soak the waste. Use 3 wheel barrows of manure. If we making compost in rainy season it needs a shed. In summer you don't need a shed,"Compost is made of biodegradable waste as well as animal manure. You pile the waste and turn the waste. You use fresh grass, dry grass. You spray water on the pile. You need 4 wheelbarrows of animal manure for each layer. You start piling by dry grass, then green grass, and then animal manure. Then you repeat the process. You can use compost on maize, rice, tomato, vegetables.","Compost is manure made from biodegradable waste. It takes 4 months to make. You take dry leaves and soil, then add green leaves and add soil, then add manure add soils. You repeat the process.  It can be 4cm or 8 cm. It can be used as fertilizer for maize, tomatoes ","Compost is made of biodegradable things like grass, and manure. It's made bybpiling dead leaves, then fresh leaves, then animal manure of 4 wheelbarrows . Then the process starts again. A compost is 2×2×2 meters. It takes 2 months to make compost.",Compost is fertilizer for crops made from biodegradable waste. You pile waste and then turn the pile in every 1 week for 2 or 4 months. 
Compost is beneficial for your soil and crops. Do you agree with this statement?,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Would you be willing to use compost on your fields?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Why would you like to use it on your fields? What are your expectations?,To restore our depleted soils. It's cheap so can manage to use and improve yield,It can improve yield. It can restore soil health.,It restores soil nutrients. It's good for crop health as well,It restores soil nutrients. It improves quality/taste of yield which are not contaminated by inorganic fertilizer,"To have our crops good healthy, and high yield. It keeps moist in soil. It restores soil.",It will improve soil fertility than even the next generation will not need to use inorganic fertilizer. It restores soil fertility ,Because fertilizer is expensive and can't do anything else. Can use local resources to make manure for crops,To restore soil. To improve yield ,To improve yield. To restore soil fertility 
How much compost would you need in a year? [kg],700,2000,1000,2500,1200,250,500,1000,150
What do you think are advantages of compost over inorganic fertilizer?,"Compost is cheap, restores soil. With time it lessen use of compost that we may even plant crops with manure/compost",It works well with tomato just like any other manure,Compost improve soil fertility while inorganic fertilizer cause soil to lose nutrients. It's cheap. It is easy to make because resources are locally available.,It restores soil nutrients. You even get yield even if you fail to apply once soil has regained it's nutrients. It's cheap as it uses local resources ,Compost doesn't depletes soil. It makes land Sustainable than inorganic fertilizer that our children will be able to use,It restores soil nutrients. It's easy to make using locally available resources. It's very cheap.,It restores soil. It brings microbes in the soil essential for crop production,It's cheap. It uses ready available resources. It restores soil,It restores soil nutrients.
What do you think are advantages of inorganic fertilizer over compost?,It improves yield but depletes soil,Plants grow fast.,It's fast as crops grow very quickly ,"It's fast and effective. It's less labour intensive to use, and doesn't need time to make ",It's fast and works. But only damages the soils,It's effective. Crops do grow well without it,It's works as the yield is high. You are guaranteed of harvesting high yield,It's fast and effective. You get more yield,It's effective as plants grow fast
Do you think plants can grow good enough if you only supply them with compost?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Would you be willing to use it if it is for free?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
