Household ID,Sampling data,"Household size
[# people]","Volume
[l]",Waste total mass [kg],Organics [kg],Paper & Cardboard [kg],Plastics [kg],Textiles [kg],Hygiene Products [kg],Metals [kg],Glass [kg],Others [kg],Stones [kg],Comments
1.1,08.11.2023,,17.00,2.302,2.160,0.053,0.005,0.000,0.000,0.000,0.000,0.028,0.000,In the samples of 8.11 the categorie stones did not existe therefore the stones are in those samples in the category others.
1.2,09.11.2023,,16.00,3.012,1.322,-0.002,0.007,-0.006,0.000,0.000,0.000,2.034,0.894,In categorie Others there is a lot of ash
1.3,10.11.2023,,17.00,1.805,1.631,0.027,0.012,0.003,0.000,-0.003,0.000,0.029,0.086,
1.4,11.11.2023,,17.00,2.783,1.360,0.036,0.012,0.000,0.000,0.000,0.000,0.048,1.205,
1.5,12.11.2023,,17.00,2.764,1.562,0.010,-0.001,0.000,0.000,0.000,0.000,0.009,1.137,
1.6,13.11.2023,,17.00,2.107,0.771,-0.003,0.027,-0.003,0.000,0.000,0.019,0.069,1.166,
1.7,14.11.2023,,17.00,1.392,0.848,0.000,0.009,0.000,0.000,0.000,0.000,0.006,0.476,In categorie Organic there is a lot of grass
1.8,15.11.2023,,17.00,1.637,1.307,0.000,-0.001,0.000,0.000,0.000,0.000,-0.003,0.278,In categorie Organic there is a lot of grass
2.1,08.11.2023,,4.00,0.881,0.725,0.050,0.017,0.000,0.000,0.000,0.000,0.025,0.000,
2.2,09.11.2023,,6.00,0.996,0.698,0.011,0.101,0.000,0.000,0.000,0.000,-0.002,0.128,
2.3,10.11.2023,,7.00,0.634,0.191,0.004,0.322,0.046,0.000,0.000,0.000,0.009,0.051,
2.4,11.11.2023,,4.00,0.887,0.483,0.016,0.151,0.012,0.000,0.000,0.000,0.023,0.185,
2.5,12.11.2023,,6.00,1.166,0.365,0.009,0.113,-0.006,0.000,0.003,0.000,0.021,0.604,
2.6,13.11.2023,,6.00,0.990,0.420,0.018,0.146,0.018,0.000,0.000,0.000,0.005,0.359,
2.7,14.11.2023,,6.00,0.998,0.408,0.026,0.159,0.028,0.000,0.000,0.000,0.042,0.322,
2.8,15.11.2023,,6.00,0.758,0.516,0.002,0.192,0.008,0.000,0.000,0.000,0.004,0.000,
3.1,08.11.2023,,7.00,0.953,0.285,0.159,0.129,0.070,0.000,0.000,0.000,0.219,0.000,
3.2,09.11.2023,,6.00,0.996,0.358,0.077,0.105,0.000,0.000,0.000,0.000,0.011,0.379,
3.3,10.11.2023,,10.00,1.804,0.836,0.040,0.272,0.029,0.000,0.050,0.000,0.028,0.472,
3.4,11.11.2023,,9.00,2.363,0.546,0.061,0.394,0.040,-0.003,0.040,0.000,0.028,1.153,
3.5,12.11.2023,,17.00,2.500,1.138,0.211,0.130,0.021,0.000,-0.001,0.002,0.075,0.900,
3.6,13.11.2023,,17.00,2.433,0.496,0.045,0.054,0.000,0.000,0.006,0.000,2.985,0.000,A lot of charcoal in the category others
3.7,14.11.2023,,17.00,4.978,0.525,0.005,0.100,-0.001,-0.003,0.007,0.000,4.193,0.126,"Total mass weight with big scale / 
A lot charcoal in the category others"
3.8,15.11.2023,,17.00,4.549,0.804,0.083,0.217,0.000,0.000,0.000,0.000,2.796,0.566,
4.1,08.11.2023,,9.00,1.129,0.735,0.006,0.078,0.017,0.000,0.000,0.000,0.209,0.000,
4.2,09.11.2023,,10.00,1.772,0.234,0.000,0.423,0.013,0.000,0.030,0.054,0.023,0.909,
4.3,10.11.2023,,10.00,1.313,0.364,0.052,0.233,0.021,0.003,0.337,0.000,0.020,0.245,
4.4,11.11.2023,,10.00,5.978,0.877,0.002,0.159,0.001,0.000,0.021,0.022,0.005,4.174,
4.5,12.11.2023,,16.00,4.791,0.981,0.002,0.032,0.090,0.002,0.000,0.000,0.010,3.093,
4.6,13.11.2023,,17.00,3.103,0.392,0.000,0.052,0.002,0.000,0.060,0.000,0.014,2.354,
4.7,14.11.2023,,10.00,3.404,0.599,0.001,0.075,0.101,0.000,0.000,0.011,0.023,2.742,
4.8,15.11.2023,,27.00,5.340,1.639,0.001,0.280,0.141,0.000,0.119,0.000,0.022,3.048,
5.1,08.11.2023,,1.00,0.057,0.000,-0.001,0.034,0.000,0.000,0.000,0.000,0.000,0.000,
5.2,09.11.2023,,1.00,0.070,0.000,0.000,0.043,0.000,0.000,0.000,0.000,0.002,0.000,
5.3,10.11.2023,,3.00,0.660,0.008,-0.001,0.063,0.000,0.000,0.000,0.000,0.535,0.024,In categorie Others there is a lot of ash
5.4,11.11.2023,,4.00,1.795,0.562,0.006,0.024,0.037,0.000,0.000,0.000,0.017,1.227,
5.5,12.11.2023,,2.00,0.848,0.149,0.000,0.005,0.000,0.001,0.000,0.000,0.000,0.630,Waste is wet
5.6,13.11.2023,,3.00,0.916,0.151,0.071,0.012,0.000,0.000,0.000,0.000,0.643,0.000,In categorie Others there is a lot of ash
5.7,14.11.2023,,6.00,1.533,0.437,0.001,0.059,0.000,0.000,0.000,0.000,0.013,1.082,
5.8,15.11.2023,,3.00,0.610,0.185,0.000,0.059,-0.004,0.000,0.000,0.000,-0.002,0.332,
6.1,08.11.2023,,1.00,0.091,0.075,-0.009,0.008,0.000,0.000,0.000,0.000,-0.006,0.000,people collected not all waste
6.2,09.11.2023,,1.00,0.094,0.075,0.000,0.015,0.000,0.000,0.000,0.000,0.003,0.000,Bag was small--> people did not collect all waste
6.3,10.11.2023,,10.00,1.899,1.176,0.029,0.226,0.017,0.000,0.068,0.000,0.146,0.169,
6.4,11.11.2023,,8.00,2.900,1.127,0.011,0.148,0.034,0.000,0.010,0.000,0.090,2.174,
6.5,12.11.2023,,16.00,1.480,0.195,0.014,0.264,0.007,0.000,0.421,0.009,0.002,0.551,
6.6,13.11.2023,,6.00,2.776,0.878,-0.002,0.008,0.000,0.000,0.008,0.000,1.028,0.876,
6.7,14.11.2023,,6.00,2.360,0.258,0.002,0.083,0.091,0.000,0.000,0.322,0.002,1.649,
6.8,15.11.2023,,10.00,1.365,0.707,0.036,0.174,0.085,0.000,0.326,0.000,-0.003,0.000,In categorie organic there is a lot of grass
7.1,08.11.2023,,5.00,#VALUE!,0.974,0.052,0.040,0.000,0.000,-0.003,0.000,0.586,0.000,The total mass of the bag 7.1 was not measured
7.2,09.11.2023,,8.00,3.553,0.699,0.025,0.100,0.001,0.000,0.000,0.000,0.011,2.670,
7.3,10.11.2023,,5.00,3.204,0.302,0.004,0.161,0.007,0.000,0.003,0.000,0.027,2.688,
7.4,11.11.2023,,10.00,5.672,0.713,0.003,0.087,0.118,0.000,0.003,0.000,0.027,4.606,
7.5,12.11.2023,,7.00,2.383,0.868,0.001,0.071,0.000,0.000,0.000,0.000,1.058,0.324,
7.6,13.11.2023,,8.00,2.327,0.414,-0.006,0.099,-0.004,0.000,0.000,0.000,0.341,1.405,
7.7,14.11.2023,,7.00,2.085,1.117,-0.001,0.060,0.000,0.000,-0.001,0.000,-0.002,0.872,
7.8,15.11.2023,,4.00,1.690,0.227,0.042,0.172,0.000,0.000,0.000,0.000,-0.001,1.258,
8.1,08.11.2023,,2.00,1.271,1.193,0.000,0.001,0.000,0.000,0.000,0.000,-0.008,0.000,
8.2,09.11.2023,,7.00,0.967,0.694,0.000,0.229,0.000,0.000,0.000,0.000,0.006,0.000,
8.3,10.11.2023,,4.00,1.369,0.161,0.000,0.012,0.013,0.000,0.000,0.000,1.097,0.077,
8.4,11.11.2023,,5.00,0.835,0.142,0.090,0.049,0.104,0.000,0.000,0.081,0.373,0.000,
8.5,12.11.2023,,8.00,1.457,0.609,0.168,0.095,0.001,0.002,0.000,0.000,0.000,0.530,
8.6,13.11.2023,,4.00,1.374,0.619,0.000,0.016,0.135,0.000,0.006,0.009,0.122,0.413,
8.7,14.11.2023,,10.00,2.238,0.450,0.005,0.042,-0.002,-0.001,0.042,-0.001,0.057,1.585,
8.8,15.11.2023,,7.00,1.659,0.971,0.006,0.013,0.000,0.000,0.000,0.000,0.641,0.000,In organics there was a lot of food waste
9.1,08.11.2023,,10.00,3.062,1.881,0.083,0.366,0.207,0.000,0.000,0.057,0.308,0.000,They could not fit all the waste in 1 bag. It's a special case there are 5 families living in this HH in total around 25 - 26 people. They dump their waste together
9.2,09.11.2023,,51.00,13.161,4.015,0.145,0.391,0.158,0.000,0.023,0.011,0.267,5.193,Stones and some of the bags were weighed with the big scale
9.3,10.11.2023,,34.00,9.442,2.998,0.079,0.413,0.315,0.000,0.028,0.007,0.529,4.669,
9.4,11.11.2023,,34.00,15.456,5.274,0.023,0.362,0.267,0.000,0.160,0.000,0.206,8.193,Stones and some of the bags were weighed with the big scale
9.5,12.11.2023,,34.00,14.456,6.202,0.024,0.293,0.007,0.000,0.012,0.019,0.017,6.193,Stones and some of the bags were weighed with the big scale
9.6,13.11.2023,,17.00,8.228,3.100,0.029,0.103,0.010,0.000,0.018,0.000,0.001,4.468,
9.7,14.11.2023,,34.00,9.706,2.323,0.005,0.388,-0.002,-0.003,-0.003,0.000,1.619,5.693,"Stones and some of the bags were weighed with the big scale
In categorie Others there is a lot of ash"
9.8,15.11.2023,,17.00,4.978,1.482,0.021,0.205,0.009,0.000,0.005,0.038,0.007,2.270,Bag was weighed with the big scale
10.1,08.11.2023,,4.00,0.776,0.322,0.003,0.036,0.000,0.000,0.000,0.000,0.361,0.000,
10.2,09.11.2023,,8.00,2.403,0.685,0.028,0.142,0.001,0.000,0.000,0.000,0.293,1.015,
10.3,10.11.2023,,10.00,1.413,0.395,0.028,0.391,-0.002,0.000,0.000,0.164,0.019,0.364,
10.4,11.11.2023,,4.00,0.886,0.219,0.003,0.147,0.011,0.000,0.000,0.000,0.101,0.384,
10.5,12.11.2023,,15.00,5.601,1.123,0.000,0.136,0.000,0.000,0.009,0.000,0.474,3.763,In categorie Others a lot of ash
10.6,13.11.2023,,3.00,1.364,0.166,0.019,0.037,0.000,0.000,0.000,0.000,1.118,0.000,In categorie Others a lot of ash
10.7,14.11.2023,,9.00,2.934,0.832,0.000,0.066,0.004,0.000,0.003,0.017,0.069,1.873,
10.8,15.11.2023,,6.00,2.183,0.612,0.012,0.099,0.000,0.000,0.002,0.000,0.001,1.401,
11.1,08.11.2023,,10.00,0.582,0.026,0.032,0.365,-0.007,0.000,-0.004,0.000,0.055,0.000,
11.2,09.11.2023,,4.00,0.313,0.033,0.004,0.228,0.000,-0.004,0.000,0.000,0.013,0.000,
11.3,10.11.2023,,4.00,1.037,0.630,0.002,0.051,0.000,0.000,0.000,0.000,0.325,0.000,
11.4,11.11.2023,,17.00,8.978,2.119,0.339,0.232,0.003,0.000,0.013,0.002,0.039,5.591,Bag was weighed with big scale
