Lodge ID,Sampling data,"Visitor per day
[# people]","Volume
[l]",Waste total mass [kg],Organics-Food [kg],Organics-Garden [kg],Paper & Cardboard [kg],Plastics [kg],Textiles [kg],Hygiene Products [kg],Metals [kg],Glass [kg],Others [kg],Stones [kg],Comments
1.1,28.11.2023,na,na,0,0,0,0,0,0,0,0,0,0,0,Waste was not collected by the lodge
1.2,29.11.2023,10,-,9,7.953,0,0.03,0.157,0,0,0.086,0.363,0.016,0,"Only kitchen waste collected on this day, no sweeping and no waste from the rooms"
1.3,30.11.2023,20,30,4.5,3.019,0,0.123,0.221,0,0,0.12,0.575,0.016,0,"A lot of wind during measurement. 
Garden waste was not collected on this day
Visitors inkl. Daily Visitors"
1.4,01.12.2023,20,-,27.561,7,13,0.032,0.298,0.002,0,0.08,0.378,0.056,6,
1.5,02.12.2023,17,-,23.577,4.472,8,0.41,0.715,0.019,0.005,0.268,0,0.275,10,
1.6,03.12.2023,3,-,15.89,6.5,8,0.056,0.184,0,0,0.131,0.585,0.049,0,
1.7,04.12.2023,10,-,13.726,2.802,5,0.215,0.691,0,0,0.09,0,0.035,5.5,
1.8,05.12.2023,16,-,16.206,3.607,4.5,0.795,1.104,0.012,0,0.274,0.078,0.529,4.509,
2.1,28.11.2023,na,na,0,0,0,0,0,0,0,0,0,0,0,Was not collected by the lodge
2.2,29.11.2023,4,42,6.917,4.241,0,0.135,0.222,0,0,0.713,1.303,0.159,0,Garden Waste was not collected
2.3,30.11.2023,4,127,13.668,5.5,7.5,0.08,0.081,0,0,0.24,0,3.293,0.586,
2.4,01.12.2023,4,-,13.726,2.578,8.5,0.036,0.235,0,0,0.235,0.825,0.119,0.371,
2.5,02.12.2023,5,20,5.606,4.456,0,0.102,0.267,0,0,0.081,0.312,0.239,0,
2.6,03.12.2023,4,-,29.513,1.631,27.5,0.023,0.04,0,0,0.271,0,0.06,0,
2.7,04.12.2023,4,-,10.534,1.79,4.5,0.258,2.123,0,0,0.224,0,0.057,0.518,
2.8,05.12.2023,1,-,6.978,0.705,3.693,0.25,0.16,0.312,-0.307,0.039,0.043,0.058,1.934,
3.1,28.11.2023,4,-,3.878,3.19,0,0.103,0.187,0,0,0,0,0.027,0,Garden Waste was not collected
3.2,29.11.2023,1,110,#VALUE!,1.385,11,0.004,0.007,0,0,0.017,0,0.021,3.235,Big waste bag could not be measured since it would have ripped apart if we would have hang it on the scale.
3.3,30.11.2023,25,45,9.395,3.413,4,0.038,0.348,0,0,0.005,0,0.081,1.372,Visitor inkl. Daily visitors
3.4,01.12.2023,25,-,13.744,3.957,6.5,0.251,0.404,0,0.034,0.345,0.976,0.206,0,
3.5,02.12.2023,16,12,1.906,1.175,0,0.169,0.403,0,0,0,0,0.142,0,
3.6,03.12.2023,14,-,23.912,4.5,7.5,1.188,2,0.01,0.235,1.068,5.619,2,0,
3.7,04.12.2023,4,-,20.434,0.234,9.5,0.079,1,0,0,0.249,6.5,0.085,1.6,
3.8,05.12.2023,2,-,16.978,2.349,7.5,0.117,0.209,0,0,0.091,2.724,0.125,3.191,
4.1,28.11.2023,9,-,2,1.645,0,0.003,0.198,0,0,0,0,0.051,0.028,They did not collect garden waste
4.2,29.11.2023,8,15,4.5,0.767,0.455,0.038,0.135,0,0,0.105,0.015,0.002,2.598,
4.3,30.11.2023,6,8,2.919,2.719,0,0.007,0.073,0,0,0,0,0,0,
4.4,01.12.2023,10,-,19.44,0.905,8.5,0.045,0.111,0.015,0,0,0,0.043,10,
4.5,02.12.2023,4,-,9,2.223,2.5,0.011,0.19,0,0,0,0,0.035,6,
4.6,03.12.2023,7,-,7,2.506,1.214,0.055,0.042,0.034,0,0.004,0,0.031,2.135,
4.7,04.12.2023,9,-,6,0.622,0.453,0.019,0.093,0,0,0.085,0.334,-0.005,3.576,
4.8,05.12.2023,3,-,6,1.66,0.93,0,0.063,0,0,0.017,0,0.144,2.553,
5.1,28.11.2023,5,-,7,3.934,0,0.409,0.312,0,0,0.021,1.419,0.295,0,"Did not collect garden or room waste. 
Paper waste was wet"
5.2,29.11.2023,1,244,16.562,1.775,11.471,0.11,0.484,0.003,0.03,0.035,0.004,0.095,1.68,Hygine Waste: Pampers
5.3,30.11.2023,0,356,35.766,1.894,25,0.032,0.254,0.034,0,0.034,0,0.185,9.886,A lot of wind during measurment. Can not belive that all organic waste is form 1 day.
5.4,01.12.2023,2,-,87.412,0.151,40,0.135,0.98,0.031,-0.001,0,0,0.099,46,I was sickduring these days…..seems strange that they had so much.
5.5,02.12.2023,2,-,41.912,2.795,24,0.552,0.175,0.11,0,0.007,0.022,0.025,12,
5.6,03.12.2023,3,-,22.456,1.277,15,0.045,0.103,0.034,0,0.011,0,0.015,6,
5.7,04.12.2023,2,-,21.712,2.72,11.5,0.068,0.371,0.195,0,0.045,0.312,0.285,4.5,
5.8,05.12.2023,5,-,23.978,0.081,14,0,0.035,0.014,0,0.094,0,0.005,9.5,
6.1,28.11.2023,0,-,#VALUE!,2.497,9.5,0.154,0.605,0.008,1.24,0.154,0.795,0.429,6.25,Bags were to heavy to weigh
6.2,29.11.2023,0,115,12.245,0.129,5.5,0.006,0.156,-0.003,0,0.015,0,0.052,5,
6.3,30.11.2023,0,230,35.368,0.966,24.5,0.536,0.617,0.262,0.022,0.212,0.447,0.277,9,Hygine Waste: Pampers
6.4,01.12.2023,0,110,24,0,14,0.004,0.036,0.002,0,0.007,0.054,0.013,10,
6.5,02.12.2023,15,-,20.378,3.069,9,0.055,0.306,0.001,-0.001,0.031,0,0.055,5,
6.6,03.12.2023,15,-,26.8,3.582,8.193,0.422,1.112,0.009,0.004,0.249,0.226,4.4,8.5,
6.7,04.12.2023,15,-,12.5,2.071,5,0.201,0.381,0,0.014,0.188,0.003,0.295,2.176,
6.8,05.12.2023,0,-,13.758,2.67,6.5,0.193,0.452,0.003,0.005,0.197,0.177,0.287,3.735,
7.1,28.11.2023,0,0,0,0,0,0,0,0,0,0,0,0,0,Waste was not collected. This lodge does not have a kitchen / restaurant
7.2,29.11.2023,2,120,18.458,4.693,3.886,1.039,1.078,0.146,0.004,0.099,1.325,0.196,6,
7.3,30.11.2023,2,65,16.777,0.328,7.03,0.08,0.47,0.003,0,0.028,0.12,0.121,9.5,
7.4,01.12.2023,3,-,11.886,0.535,8,0.282,0.39,0.028,-0.001,0.035,0.183,0.273,1.712,
7.5,02.12.2023,5,-,3.923,0.426,1.118,0.012,0.271,0.17,0,0.045,0,0.432,1.713,
7.6,03.12.2023,5,-,9.675,0,7.5,0.02,0.087,0.01,0,0.038,0,0,1.572,
7.7,04.12.2023,5,-,10.462,1.179,4,0.041,0.161,0.021,0,0.015,0.361,0.303,3.011,
7.8,05.12.2023,0,-,6.94,0.102,2.09,0.06,0.25,0.018,0,0.009,0.041,0.027,3.5,
8.1,28.11.2023,1,0,0.296,0,0.025,0.048,0.188,0.001,0,-0.002,0,0.036,0,
8.2,29.11.2023,0,60,6.912,0.953,3.23,0.074,0.079,0,0,0.998,0.366,0.015,0.688,
8.3,30.11.2023,0,35,4.616,1.568,2.5,0.071,0.194,0.005,0,0.037,0,0.054,0.114,
8.4,01.12.2023,0,-,6.5,1.939,2.377,0.022,0.042,0.007,0,0,0,0.025,1.812,
8.5,02.12.2023,6,-,8,1.689,5.39,0.017,0.069,0,0,0.005,0,0.131,0.703,
8.6,03.12.2023,6,-,12,8.703,0,0.679,1.1,0,0,0.178,0.345,0.02,0,
8.7,04.12.2023,2,-,7,5.134,0,0.455,0.392,0,0,0,0,0,0,
8.8,05.12.2023,4,-,7.5,7,0,0.685,0.357,0,0,0.182,0,0.04,0,
9.1,28.11.2023,0,-,3,0.083,1.169,0.011,0.088,0,0,0,0,0,1.213,
9.2,29.11.2023,0,12,1.385,0,0.387,0,0,0,0,0,0,0,0.888,
9.3,30.11.2023,0,12,1.434,0,0.554,0,0.003,0,0,0,0,0,0.765,
9.4,01.12.2023,0,110,21.5,0,5,0.065,1.118,0,0.002,2.01,5.561,0.593,7.4,
9.5,02.12.2023,0,8,1.524,0,0.552,0.012,0,0.006,0,0,0,-0.005,0.833,
9.6,03.12.2023,0,-,1.235,0,0.287,0,0,0,0,0,0,0,0.801,
9.7,04.12.2023,0,6,1.225,0,0.42,0,0.005,0,0,0,0,0,0.715,
9.8,05.12.2023,0,-,0.753,0,0.356,0,-0.001,0,0,0,0,0,0.392,
10.1,28.11.2023,6,-,13.228,6.693,0.032,3.544,1.983,0.164,0,0.007,0.006,0.305,0,Not fully open they do some mentainance work.
10.2,29.11.2023,2,110,#VALUE!,0,0.237,1.242,1.387,0.003,0,0.144,13.5,1.54,0,bag to heavy for scale
10.3,30.11.2023,2,60,19.5,0,0,0.004,0.835,0.071,0,0.11,16.5,0.893,0.3,
10.4,01.12.2023,0,0,0,0,0,0,0,0,0,0,0,0,0,Did not collect the waste on the island
10.5,02.12.2023,0,0,0,0,0,0,0,0,0,0,0,0,0,Did not collect the waste on the island
10.6,03.12.2023,0,0,0,0,0,0,0,0,0,0,0,0,0,Did not collect the waste on the island
10.7,04.12.2023,2,-,17,0.875,10,0.125,0.543,0.108,0,0.077,0.183,0.053,4.731,
10.8,05.12.2023,0,0,0,0,0,0,0,0,0,0,0,0,0,Did not collect the waste on the island
12.1,28.11.2023,4,-,7.347,0.786,0.239,0.347,0.655,0,0,0.525,4.465,0.099,0,
12.2,29.11.2023,0,0,0,0,0,0,0,0,0,0,0,0,0,Waste was not collected
12.3,30.11.2023,4,257,35.89,1.775,25.653,0.072,0.398,0,0,0.359,0.255,0.266,6.193,
12.4,01.12.2023,4,126,22.273,1.571,1.75,1.538,3.315,0.601,0.422,1.252,7.193,1.706,2.179,They did not collect garden waste. They use it.
12.5,02.12.2023,5,-,6.35,1.812,0,0.54,1.337,0,0,0.274,1.861,0.03,0,They did not collect garden waste. They use it.
12.6,03.12.2023,5,-,5.258,2.798,0,0.183,0.218,0,0,0.164,1.952,0.051,0,They did not collect garden waste. They use it.
12.7,04.12.2023,5,9,2.916,2.226,0,0.12,0.194,0,0,0.1,0,0.077,0,They did not collect garden waste. They use it.
12.8,05.12.2023,3,6,0.821,0.249,0.197,0.08,0.033,0,0,0.048,0,0.041,0,They did not collect garden waste. They use it.
